video_url,embedded_in_pages
https://www.youtube.com/watch?v=0a9teO2moEE,Styling Element States & Parts
https://www.youtube.com/watch?v=1GbJx0JnDDE,Menu Builder
https://www.youtube.com/watch?v=3MrLHRQssrg,Container
https://www.youtube.com/watch?v=5oDHG-bTAfQ,"Query Sort, Filter & Live Search"
https://www.youtube.com/watch?v=84jlX9gSz7o,Query Data from APIs
https://www.youtube.com/watch?v=AALkqzu-aBA,An Intro To Templates
https://www.youtube.com/watch?v=B53_o8GfpvQ,Wireframe Templates
https://www.youtube.com/watch?v=JMCkE6dneTM,Global CSS Classes
https://www.youtube.com/watch?v=LiYwBZ_R-f8,Custom Code
https://www.youtube.com/watch?v=LoKCda8uDNw,Scroll Snap
https://www.youtube.com/watch?v=LxrLROitgn8,Query Loop
https://www.youtube.com/watch?v=NDNRGW-_1EE,Cascade layer
https://www.youtube.com/watch?v=Nj8uPGQ56VY,Template Library
https://www.youtube.com/watch?v=NtRmIp4eMjs,Wireframe Templates
https://www.youtube.com/watch?v=Ny7qucg8pvM,Global Elements
https://www.youtube.com/watch?v=O_B19LBtnwM,Asset Loading Optimization
https://www.youtube.com/watch?v=UgoMtcacMus,Theme Styles
https://www.youtube.com/watch?v=WGVpLuzuKuE,Context Menu
https://www.youtube.com/watch?v=Zu2RZFl6eAE,Custom Fonts
https://www.youtube.com/watch?v=_dhKJdNNxLI,Container
https://www.youtube.com/watch?v=ajAXEZoyk0E,Dynamic Data
https://www.youtube.com/watch?v=b4nGPJIE5rE,Global Queries & Query Manager
https://www.youtube.com/watch?v=bLZDN9UcUyo,Creating Your First Template
https://www.youtube.com/watch?v=c9JcrLEVbnM,Create & Update Posts on the Frontend
https://www.youtube.com/watch?v=fHjio0iWkk8,Gradients & Overlays
https://www.youtube.com/watch?v=nNvcrK-vDDs,Components
https://www.youtube.com/watch?v=nWEz6N4JGpQ,Hover Styles
https://www.youtube.com/watch?v=rXhgQ5fsKDc,Shape Dividers
https://www.youtube.com/watch?v=tgpjMcZaLNc,Bricks components as blocks
https://www.youtube.com/watch?v=w4Bv-Pd6n2w,Dynamic Data
https://www.youtube.com/watch?v=yLgi-L2doIM,Unsplash Integration
