doc_id,title,source_url,local_path,section,subsection,doc_kind,asset_count,external_embed_count,status,note
new:builder/dynamic-content/dynamic-data,Dynamic Data,https://academy-preview.bricksbuilder.io/builder/dynamic-content/dynamic-data/,corpus/bricks-academy-preview/builder/dynamic-content/dynamic-data.md,builder,builder/dynamic-content,guide,4,2,ok,external embeds preserved as links
new:builder/dynamic-content/global-queries-query-manager,Global Queries & Query Manager,https://academy-preview.bricksbuilder.io/builder/dynamic-content/global-queries-query-manager/,corpus/bricks-academy-preview/builder/dynamic-content/global-queries-query-manager.md,builder,builder/dynamic-content,guide,2,1,ok,external embeds preserved as links
new:builder/dynamic-content/query-data-from-apis,Query Data from APIs,https://academy-preview.bricksbuilder.io/builder/dynamic-content/query-data-from-apis/,corpus/bricks-academy-preview/builder/dynamic-content/query-data-from-apis.md,builder,builder/dynamic-content,guide,7,1,ok,external embeds preserved as links
new:builder/dynamic-content/query-filters,"Query Sort, Filter & Live Search",https://academy-preview.bricksbuilder.io/builder/dynamic-content/query-filters/,corpus/bricks-academy-preview/builder/dynamic-content/query-filters.md,builder,builder/dynamic-content,guide,24,2,ok,external embeds preserved as links
new:builder/dynamic-content/query-loop,Query Loop,https://academy-preview.bricksbuilder.io/builder/dynamic-content/query-loop/,corpus/bricks-academy-preview/builder/dynamic-content/query-loop.md,builder,builder/dynamic-content,guide,32,1,ok,external embeds preserved as links
new:builder/elements,Elements List,https://academy-preview.bricksbuilder.io/builder/elements/,corpus/bricks-academy-preview/builder/elements.md,builder,builder/elements,guide,0,0,ok,
new:builder/elements/basic/button,Button,https://academy-preview.bricksbuilder.io/builder/elements/basic/button/,corpus/bricks-academy-preview/builder/elements/basic/button.md,builder,builder/elements,element,0,0,ok,
new:builder/elements/basic/heading,Heading,https://academy-preview.bricksbuilder.io/builder/elements/basic/heading/,corpus/bricks-academy-preview/builder/elements/basic/heading.md,builder,builder/elements,element,0,0,ok,
new:builder/elements/basic/icon,Icon,https://academy-preview.bricksbuilder.io/builder/elements/basic/icon/,corpus/bricks-academy-preview/builder/elements/basic/icon.md,builder,builder/elements,element,0,0,ok,
new:builder/elements/basic/image,Image,https://academy-preview.bricksbuilder.io/builder/elements/basic/image/,corpus/bricks-academy-preview/builder/elements/basic/image.md,builder,builder/elements,element,0,0,ok,
new:builder/elements/basic/text-basic,Text basic,https://academy-preview.bricksbuilder.io/builder/elements/basic/text-basic/,corpus/bricks-academy-preview/builder/elements/basic/text-basic.md,builder,builder/elements,element,0,0,ok,
new:builder/elements/basic/text-link,Text Link,https://academy-preview.bricksbuilder.io/builder/elements/basic/text-link/,corpus/bricks-academy-preview/builder/elements/basic/text-link.md,builder,builder/elements,element,0,0,ok,
new:builder/elements/basic/text,Rich text,https://academy-preview.bricksbuilder.io/builder/elements/basic/text/,corpus/bricks-academy-preview/builder/elements/basic/text.md,builder,builder/elements,element,0,0,ok,
new:builder/elements/basic/video,Video,https://academy-preview.bricksbuilder.io/builder/elements/basic/video/,corpus/bricks-academy-preview/builder/elements/basic/video.md,builder,builder/elements,element,1,0,ok,
new:builder/elements/filter/filter-active-filters,Filter active filters,https://academy-preview.bricksbuilder.io/builder/elements/filter/filter-active-filters/,corpus/bricks-academy-preview/builder/elements/filter/filter-active-filters.md,builder,builder/elements,element,0,0,ok,
new:builder/elements/filter/filter-checkbox,Filter checkbox,https://academy-preview.bricksbuilder.io/builder/elements/filter/filter-checkbox/,corpus/bricks-academy-preview/builder/elements/filter/filter-checkbox.md,builder,builder/elements,element,0,0,ok,
new:builder/elements/filter/filter-datepicker,Filter datepicker,https://academy-preview.bricksbuilder.io/builder/elements/filter/filter-datepicker/,corpus/bricks-academy-preview/builder/elements/filter/filter-datepicker.md,builder,builder/elements,element,0,0,ok,
