doc_id,origin,title,normalized_title,source_url,source_slug,fallback_slug,canonical_slug,section_or_category,local_path
new:builder/dynamic-content/dynamic-data,preview,Dynamic Data,dynamic data,https://academy-preview.bricksbuilder.io/builder/dynamic-content/dynamic-data/,dynamic-data,dynamic-data,dynamic-data,builder/dynamic-content,
new:builder/dynamic-content/global-queries-query-manager,preview,Global Queries & Query Manager,global queries and query manager,https://academy-preview.bricksbuilder.io/builder/dynamic-content/global-queries-query-manager/,global-queries-query-manager,global-queries-query-manager,global-queries-query-manager,builder/dynamic-content,
new:builder/dynamic-content/query-data-from-apis,preview,Query Data from APIs,query data from apis,https://academy-preview.bricksbuilder.io/builder/dynamic-content/query-data-from-apis/,query-data-from-apis,query-data-from-apis,query-data-from-apis,builder/dynamic-content,
new:builder/dynamic-content/query-filters,preview,"Query Sort, Filter & Live Search",query sort filter and live search,https://academy-preview.bricksbuilder.io/builder/dynamic-content/query-filters/,query-filters,query-filters,query-filters,builder/dynamic-content,
new:builder/dynamic-content/query-loop,preview,Query Loop,query loop,https://academy-preview.bricksbuilder.io/builder/dynamic-content/query-loop/,query-loop,query-loop,query-loop,builder/dynamic-content,
new:builder/elements,preview,Elements List,elements list,https://academy-preview.bricksbuilder.io/builder/elements/,elements,elements,elements,builder/elements,
new:builder/elements/basic/button,preview,Button,button,https://academy-preview.bricksbuilder.io/builder/elements/basic/button/,button,button,button,builder/elements,
new:builder/elements/basic/heading,preview,Heading,heading,https://academy-preview.bricksbuilder.io/builder/elements/basic/heading/,heading,heading,heading,builder/elements,
new:builder/elements/basic/icon,preview,Icon,icon,https://academy-preview.bricksbuilder.io/builder/elements/basic/icon/,icon,icon,icon,builder/elements,
new:builder/elements/basic/image,preview,Image,image,https://academy-preview.bricksbuilder.io/builder/elements/basic/image/,image,image,image,builder/elements,
new:builder/elements/basic/text-basic,preview,Text basic,text basic,https://academy-preview.bricksbuilder.io/builder/elements/basic/text-basic/,text-basic,text-basic,text-basic,builder/elements,
new:builder/elements/basic/text-link,preview,Text Link,text link,https://academy-preview.bricksbuilder.io/builder/elements/basic/text-link/,text-link,text-link,text-link,builder/elements,
new:builder/elements/basic/text,preview,Rich text,rich text,https://academy-preview.bricksbuilder.io/builder/elements/basic/text/,text,text,text,builder/elements,
new:builder/elements/basic/video,preview,Video,video,https://academy-preview.bricksbuilder.io/builder/elements/basic/video/,video,video,video,builder/elements,
new:builder/elements/filter/filter-active-filters,preview,Filter active filters,filter active filters,https://academy-preview.bricksbuilder.io/builder/elements/filter/filter-active-filters/,filter-active-filters,filter-active-filters,active-filters,builder/elements,
new:builder/elements/filter/filter-checkbox,preview,Filter checkbox,filter checkbox,https://academy-preview.bricksbuilder.io/builder/elements/filter/filter-checkbox/,filter-checkbox,filter-checkbox,checkbox,builder/elements,
new:builder/elements/filter/filter-datepicker,preview,Filter datepicker,filter datepicker,https://academy-preview.bricksbuilder.io/builder/elements/filter/filter-datepicker/,filter-datepicker,filter-datepicker,datepicker,builder/elements,
new:builder/elements/filter/filter-radio,preview,Filter radio,filter radio,https://academy-preview.bricksbuilder.io/builder/elements/filter/filter-radio/,filter-radio,filter-radio,radio,builder/elements,
new:builder/elements/filter/filter-range,preview,Filter range,filter range,https://academy-preview.bricksbuilder.io/builder/elements/filter/filter-range/,filter-range,filter-range,range,builder/elements,
new:builder/elements/filter/filter-search,preview,Filter search,filter search,https://academy-preview.bricksbuilder.io/builder/elements/filter/filter-search/,filter-search,filter-search,search,builder/elements,
new:builder/elements/filter/filter-select,preview,Filter select,filter select,https://academy-preview.bricksbuilder.io/builder/elements/filter/filter-select/,filter-select,filter-select,select,builder/elements,
new:builder/elements/filter/filter-submit,preview,Filter submit,filter submit,https://academy-preview.bricksbuilder.io/builder/elements/filter/filter-submit/,filter-submit,filter-submit,submit,builder/elements,
new:builder/elements/general/accordion-nested,preview,Accordion (nestable),accordion nestable,https://academy-preview.bricksbuilder.io/builder/elements/general/accordion-nested/,accordion-nested,accordion-nested,accordion-nested,builder/elements,
new:builder/elements/general/accordion,preview,Accordion,accordion,https://academy-preview.bricksbuilder.io/builder/elements/general/accordion/,accordion,accordion,accordion,builder/elements,
new:builder/elements/general/alert,preview,Alert,alert,https://academy-preview.bricksbuilder.io/builder/elements/general/alert/,alert,alert,alert,builder/elements,
new:builder/elements/general/animated-typing,preview,Animated typing,animated typing,https://academy-preview.bricksbuilder.io/builder/elements/general/animated-typing/,animated-typing,animated-typing,animated-typing,builder/elements,
new:builder/elements/general/back-to-top,preview,Back to Top,back to top,https://academy-preview.bricksbuilder.io/builder/elements/general/back-to-top/,back-to-top,back-to-top,back-to-top,builder/elements,
new:builder/elements/general/breadcrumbs,preview,Breadcrumbs,breadcrumbs,https://academy-preview.bricksbuilder.io/builder/elements/general/breadcrumbs/,breadcrumbs,breadcrumbs,breadcrumbs,builder/elements,
new:builder/elements/general/code,preview,Code,code,https://academy-preview.bricksbuilder.io/builder/elements/general/code/,code,code,code,builder/elements,
new:builder/elements/general/countdown,preview,Countdown,countdown,https://academy-preview.bricksbuilder.io/builder/elements/general/countdown/,countdown,countdown,countdown,builder/elements,
new:builder/elements/general/counter,preview,Counter,counter,https://academy-preview.bricksbuilder.io/builder/elements/general/counter/,counter,counter,counter,builder/elements,
new:builder/elements/general/dropdown,preview,Dropdown,dropdown,https://academy-preview.bricksbuilder.io/builder/elements/general/dropdown/,dropdown,dropdown,dropdown,builder/elements,
